desti,from,gpa,result
"曼彻斯特大学
The University of Manchester","","",""
"","","申请时无均分成绩",""
"","","","申请失败"
"谢菲尔德大学
The University of Sheffield","","",""
"","","89",""
"","新加坡管理学院","",""
"","哈德斯菲尔德大学","",""
"","","申请时无均分成绩",""
"卡迪夫大学
Cardiff University","","",""
"","","89.25",""
"埃塞克斯大学
University of Essex","","",""
"","杭州师范大学钱江学院","",""
"","普利茅斯大学","",""
"赫尔大学
University of Hull","","",""
"","江西财经大学","",""
"","","","申请成功"
"","珠海市第二中学","",""
"","","3.06",""
"","哈德斯菲尔德大学","",""
"","","3.51",""
"南安普顿大学
University of Southampton","","",""
"","","","申请成功"
"","国际关系学院","",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","","","申请成功"
"昆士兰大学
The University of Queensland","","",""
"","","85.5",""
"","南开大学","",""
"","","","申请失败"
"拉夫堡大学
Loughborough University","","",""
"墨尔本大学
The University of Melbourne","","",""
"","深圳大学","",""
"","","","申请失败"
"","德蒙福特大学","",""
"","","84.46",""
"","华南理工大学","",""
"格拉斯哥大学
University of Glasgow","","",""
"","","申请时无海外学生成绩",""
"","","","申请成功"
"","","","申请成功"
"","朴茨茅斯大学","",""
"","上海第二工业大学","",""
"雷丁大学
University of Reading","","",""
"","东北财经大学","",""
"","","83",""
"","","","申请成功"
"利兹大学
University of Leeds","","",""
"","","","申请成功"
"斯特拉斯克莱德大学
University of Strathclyde","","",""
"利物浦大学
University of Liverpool","","",""
"伦敦大学玛丽皇后学院
Queen Mary, University of London","","",""
"","朴次茅斯大学","",""
"","","","申请失败"
"","约克大学","",""
"","","","申请失败"
"","卡迪夫大学","",""
"卡迪夫大学
Cardiff University","","",""
"","","","申请成功"
"","","79.04",""
"","桂林电子科技大学","",""
"奥克兰理工大学
Auckland University of Technology","","",""
"","","","申请成功"
"","","2.1",""
"","","86",""
"","","71",""
"利兹大学
University of Leeds","","",""
"","上海立信会计金融学院","",""
"","","80.1",""
"伦敦大学国王学院
King’s College London","","",""
"布里斯托大学
University of Bristol","","",""
"","朴次茅斯大学","",""
"","天津商业大学","",""
"","","3.72",""
"","桑德兰大学","",""
"谢菲尔德大学
The University of Sheffield","","",""
"谢菲尔德大学
The University of Sheffield","","",""
"雷丁大学
University of Reading","","",""
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"埃克塞特大学
University of Exeter","","",""
"爱丁堡大学
The University of Edinburgh","","",""
"萨塞克斯大学
University of Sussex","","",""
"","天津商业大学","",""
"莫纳什大学
Monash University","","",""
"","广东财经大学","",""
"","吉林师范大学","",""
"","","87.2",""
"","","80",""
"","","","申请成功"
"曼彻斯特大学
The University of Manchester","","",""
"伦敦大学国王学院
King’s College London","","",""
"","","","申请成功"
"","深圳大学","",""
"","","80",""
"","","","申请失败"
"萨里大学
University of Surrey","","",""
"","","","申请成功"
"","","","申请成功"
"","上海视觉艺术学院","",""
"","西华大学","",""
"伦敦大学国王学院
King’s College London","","",""
"","","申请时无均分成绩",""
"谢菲尔德大学
The University of Sheffield","","",""
"南安普顿大学
University of Southampton","","",""
"布里斯托大学
University of Bristol","","",""
"","","","申请失败"
"","","","申请成功"
"","","","申请失败"
"","","","申请失败"
"曼彻斯特大学
The University of Manchester","","",""
"","西南民族大学","",""
"雷丁大学
University of Reading","","",""
"","中国药科大学","",""
"","","81.88",""
"","广东外语艺术职业学院","",""
"","","申请时无均分成绩",""
"纽卡斯尔大学
Newcastle University","","",""
"斯旺西大学
Swansea University","","",""
"纽卡斯尔大学
Newcastle University","","",""
"","北京工商大学嘉华学院","",""
"","","","申请成功"
"","深圳大学","",""
"","中国地质大学（武汉）","",""
"","西南财经大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","80.6",""
"","曲阜师范大学","",""
"","","","申请失败"
"","","",""
"埃克塞特大学
University of Exeter","","",""
"","广东外语外贸大学","",""
"","","87.6",""
"","","3.7",""
"","","","申请成功"
"","","","申请成功"
"","","","申请失败"
"","","申请时无均分成绩",""
"","","","申请成功"
"","深圳大学","",""
"斯特拉斯克莱德大学
University of Strathclyde","","",""
"","","","申请失败"
"","","申请时无合办项目成绩",""
"","","","申请成功"
"","","","申请成功"
"谢菲尔德大学
The University of Sheffield","","",""
"","","2.97",""
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","","","申请成功"
"","","2.62",""
"","","申请时无均分成绩",""
"","上海对外经贸大学","",""
"","","","申请成功"
"","","","申请成功"
"","","","申请失败"
"澳大利亚国立大学
The Australian National University","","",""
"纽卡斯尔大学
Newcastle University","","",""
"","莱斯特大学","",""
"","南华大学船山学院","",""
"利兹大学
University of Leeds","","",""
"","","","申请成功"
"","滁州学院","",""
"","","","申请失败"
"","","80.08",""
"","","","申请成功"
"","德蒙福特大学","",""
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"南安普顿大学
University of Southampton","","",""
"","","申请时无海外学生成绩",""
"","","3.7",""
"布里斯托大学
University of Bristol","","",""
"","","","申请成功"
"","","80",""
"拉夫堡大学
Loughborough University","","",""
"","","申请时无海外学生成绩",""
"南安普顿大学
University of Southampton","","",""
"","衡阳市第八中学","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","83",""
"","","","申请成功"
"","","3.74",""
"利兹大学
University of Leeds","","",""
"","云南师范大学商学院","",""
"","普利茅斯大学","",""
"卡迪夫大学
Cardiff University","","",""
"","利物浦大学","",""
"","","","申请成功"
"谢菲尔德哈勒姆大学
Sheffield Hallam University","","",""
"","","","申请失败"
"布里斯托大学
University of Bristol","","",""
"","","申请时无均分成绩",""
"","朴次茅斯大学","",""
"","","3.63",""
"莫纳什大学
Monash University","","",""
"利兹大学
University of Leeds","","",""
"利兹大学
University of Leeds","","",""
"","","申请时无均分成绩",""
"","湖北经济学院","",""
"","","申请时无海外学生成绩",""
"","","","申请失败"
"","","80.83",""
"","","79.16",""
"","","83.36",""
"斯特灵大学
University of Stirling","","",""
"","湖北经济学院","",""
"利兹大学
University of Leeds","","",""
"","","","申请失败"
"利物浦大学
University of Liverpool","","",""
"阿斯顿大学
Aston University","","",""
"","广东药学院","",""
"","","","申请成功"
"萨塞克斯大学
University of Sussex","","",""
"","朴次茅斯大学","",""
"利兹大学
University of Leeds","","",""
"","威尔士三一圣大卫大学","",""
"","","","申请成功"
"","","","申请失败"
"","","80",""
"","考文垂大学","",""
"利兹大学
University of Leeds","","",""
"","","","申请失败"
